image_path,rotulos_conflitantes
images/test/103.jpg,24011603=adequado; 24011485=inadequado
images/test/113.jpg,24011603=adequado; 24011485=inadequado
images/test/134.jpg,24011603=adequado; 24011485=inadequado
images/test/138.jpg,24011603=adequado; 24011485=inadequado
images/test/148.jpg,24011603=adequado; 24011485=inadequado
images/test/165.jpg,24011603=adequado; 24011485=inadequado
images/test/175.jpg,24011603=adequado; 24011485=inadequado
images/test/18.jpg,24011603=adequado; 24011485=inadequado
images/test/27.jpg,24011603=adequado; 24011485=inadequado
images/test/28.jpg,24011603=adequado; 24011485=inadequado
images/test/3.jpg,24011603=adequado; 24011485=inadequado
images/test/43.jpg,24011603=adequado; 24011485=inadequado
images/test/57.jpg,24011603=adequado; 24011485=inadequado
images/test/58.jpg,24011603=adequado; 24011485=inadequado
images/test/60.jpg,24011603=adequado; 24011485=inadequado
images/test/65.jpg,24011603=adequado; 24011485=inadequado
images/test/82.jpg,24011603=adequado; 24011485=inadequado
images/test/97.jpg,24011603=adequado; 24011485=inadequado
images/test/v17.jpg,24011603=adequado; 24011485=inadequado
images/test/v26.jpg,24011603=inadequado; 24011485=adequado
images/test/v45.jpg,24011603=adequado; 24011485=inadequado
images/test/v62.jpg,24011603=adequado; 24011485=inadequado
images/test/v65.jpg,24011603=adequado; 24011485=inadequado
images/test/v75.jpg,24011603=adequado; 24011485=inadequado
images/test/v79.jpg,24011603=adequado; 24011485=inadequado
images/train/1022.jpg,24011603=adequado; 24011485=inadequado
images/train/1027.jpg,24011603=adequado; 24011485=inadequado
images/train/1028.jpg,24011603=adequado; 24011485=inadequado
images/train/1033.jpg,24011603=adequado; 24011485=inadequado
images/train/1038.jpg,24011603=adequado; 24011485=inadequado
images/train/1058.jpg,24011603=adequado; 24011485=inadequado
images/train/1072.jpg,24011603=adequado; 24011485=inadequado
images/train/1078.jpg,24011603=adequado; 24011485=inadequado
images/train/1093.jpg,24011603=adequado; 24011485=inadequado
images/train/1098.jpg,24011603=inadequado; 24011485=adequado
images/train/1102.jpg,24011603=adequado; 24011485=inadequado
images/train/1111.jpg,24011603=adequado; 24011485=inadequado
images/train/1113.jpg,24011603=inadequado; 24011485=adequado
images/train/1136.jpg,24011603=adequado; 24011485=inadequado
images/train/1159.jpg,24011603=adequado; 24011485=inadequado
images/train/1174.jpg,24011603=adequado; 24011485=inadequado
images/train/1176.jpg,24011603=adequado; 24011485=inadequado
images/train/1178.jpg,24011603=inadequado; 24011485=adequado
images/train/1183.jpg,24011603=inadequado; 24011485=adequado
images/train/1192.jpg,24011603=adequado; 24011485=inadequado
images/train/1194.jpg,24011603=adequado; 24011485=inadequado
images/train/1201.jpg,24011603=inadequado; 24011485=adequado
images/train/1205.jpg,24011603=inadequado; 24011485=adequado
images/train/1237.jpg,24011603=adequado; 24011485=inadequado
images/train/1242.jpg,24011603=adequado; 24011485=inadequado
images/train/1245.jpg,24011603=inadequado; 24011485=adequado
images/train/1252.jpg,24011603=adequado; 24011485=inadequado
images/train/1254.jpg,24011603=inadequado; 24011485=adequado
images/train/1265.jpg,24011603=adequado; 24011485=inadequado
images/train/1268.jpg,24011603=inadequado; 24011485=adequado
images/train/1279.jpg,24011603=adequado; 24011485=inadequado
images/train/1282.jpg,24011603=adequado; 24011485=inadequado
images/train/1309.jpg,24011603=adequado; 24011485=inadequado
images/train/1313.jpg,24011603=adequado; 24011485=inadequado
images/train/1318.jpg,24011603=inadequado; 24011485=adequado
images/train/1324.jpg,24011603=inadequado; 24011485=adequado
images/train/1327.jpg,24011603=adequado; 24011485=inadequado
images/train/1344.jpg,24011603=adequado; 24011485=inadequado
images/train/1369.jpg,24011603=adequado; 24011485=inadequado
images/train/1373.jpg,24011603=adequado; 24011485=inadequado
images/train/1374.jpg,24011603=adequado; 24011485=inadequado
images/train/1376.jpg,24011603=adequado; 24011485=inadequado
images/train/1377.jpg,24011603=adequado; 24011485=inadequado
images/train/1389.jpg,24011603=adequado; 24011485=inadequado
images/train/1409.jpg,24011603=inadequado; 24011485=adequado
images/train/1413.jpg,24011603=inadequado; 24011485=adequado
images/train/1421.jpg,24011603=adequado; 24011485=inadequado
images/train/1424.jpg,24011603=adequado; 24011485=inadequado
images/train/1429.jpg,24011603=adequado; 24011485=inadequado
images/train/1433.jpg,24011603=adequado; 24011485=inadequado
images/train/1434.jpg,24011603=adequado; 24011485=inadequado
images/train/1439.jpg,24011603=adequado; 24011485=inadequado
images/train/1455.jpg,24011603=inadequado; 24011485=adequado
images/train/1456.jpg,24011603=adequado; 24011485=inadequado
images/train/1474.jpg,24011603=adequado; 24011485=inadequado
images/train/149.jpg,24011603=inadequado; 24011485=adequado
images/train/1491.jpg,24011603=adequado; 24011485=inadequado
